"season","driver","car","track","direction","grand_prix","date","position","player_name","player_time","points","screenshot_link"
"2021_gp1","mike","eagle","marina","normal","tour",2021-02-07,1,"rpodcast","02:56:499",12,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-07-tour-marina-normal/2021_gp1-2021-02-07-tour-marina-normal.png"
"2021_gp1","mike","eagle","marina","normal","tour",2021-02-07,2,"TwoD","02:59:393",11,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-07-tour-marina-normal/2021_gp1-2021-02-07-tour-marina-normal.png"
"2021_gp1","mike","eagle","marina","normal","tour",2021-02-07,3,"FrenchguyCH","03:01:880",10,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-07-tour-marina-normal/2021_gp1-2021-02-07-tour-marina-normal.png"
"2021_gp1","mike","eagle","marina","normal","tour",2021-02-07,4,"bigcalm","03:04:590",9,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-07-tour-marina-normal/2021_gp1-2021-02-07-tour-marina-normal.png"
"2021_gp1","mike","eagle","marina","normal","tour",2021-02-07,5,"TheUnwiseGeek","03:05:533",8,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-07-tour-marina-normal/2021_gp1-2021-02-07-tour-marina-normal.png"
"2021_gp1","mike","eagle","marina","normal","tour",2021-02-07,6,"Wimpy","03:11:675",7,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-07-tour-marina-normal/2021_gp1-2021-02-07-tour-marina-normal.png"
"2021_gp1","mike","eagle","marina","normal","tour",2021-02-07,7,"madhens","DNF",0,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-07-tour-marina-normal/2021_gp1-2021-02-07-tour-marina-normal.png"
"2021_gp1","aston","shadow","area_41","normal","tour",2021-02-07,1,"rpodcast","02:17:349",12,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-07-tour-area_41-normal/2021_gp1-2021-02-07-tour-area_41-normal.png"
"2021_gp1","aston","shadow","area_41","normal","tour",2021-02-07,2,"FrenchguyCH","02:18:280",11,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-07-tour-area_41-normal/2021_gp1-2021-02-07-tour-area_41-normal.png"
"2021_gp1","aston","shadow","area_41","normal","tour",2021-02-07,3,"TwoD","02:19:011",10,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-07-tour-area_41-normal/2021_gp1-2021-02-07-tour-area_41-normal.png"
